,ID,S,P,FORM,LEMMA,GPOS,MORF,DTREE,FUNC,CTREE,PRED,ARG0,ARG1,ARG2,ARG3,ARG4,ARG5,ARG6
0,1,1,0,Brasília,Brasília,PROP,F|S,5,ADVL,(FCL(NP*),-,*,*,*,*,,,
1,2,1,0,Pesquisa_Datafolha,Pesquisa_Datafolha,N,F|S,5,SUBJ,(NP*,-,(A0*,*,*,*,,,
2,3,1,0,publicada,publicar,V-PCP,F|S,2,N<,(ICL(VP*),-,*,*,*,*,,,
3,4,1,0,hoje,hoje,ADV,-,3,ADVL,(ADVP*))),-,*),*,*,*,,,
4,5,1,1,revela,revelar,V-FIN,PR|3S|IND,0,STA,(VP*),revelar,(V*),*,*,*,,,
5,6,1,1,um,um,ART,M|S,7,>N,(NP*,-,(A1*,*,*,*,,,
6,7,1,1,dado,dado,N,M|S,5,ACC,*,-,*,*,*,*,,,
7,8,1,1,supreendente,surpreendente,ADJ,M|S,7,N<,(ADJP*),-,*,*,*,*,,,
8,9,1,1,:,-,PU,-,7,PU,*,-,*,*,*,*,,,
9,10,1,2,recusando,recusar,V-GER,-,25,ADVL,(FCL(ICL(VP*),recusar,*,(V*),(AM-ADV*,*,,,
10,11,1,2,uma,um,ART,F|S,12,>N,(NP*,-,*,(A1*,*,*,,,
11,12,1,2,postura,postura,N,F|S,10,ACC,*,-,*,*,*,*,,,
12,13,1,2,radical,radical,ADJ,F|S,12,N<,(ADJP*))),-,*,*),*),*,,,
13,14,1,2,",",-,PU,-,25,PU,*,-,*,*,*,*,,,
14,15,1,2,a,o,ART,F|S,17,>N,(NP*,-,*,*,(A0*,*,,,
15,16,1,2,esmagadora,esmagador,ADJ,F|S,17,>N,*,-,*,*,*,*,,,
16,17,1,2,maioria,maioria,N,F|S,25,SUBJ,*,-,*,*,*,*,,,
17,18,1,2,(,-,PU,-,17,PU,*,-,*,*,*,*,,,
18,19,1,2,77,77,NUM,M|P,20,>N,(NP*,-,*,*,*,*,,,
19,20,1,2,%,%,N,M|P,17,N<PRED,*),-,*,*,*,*,,,
20,21,1,2,),-,PU,-,17,PU,*,-,*,*,*,*,,,
21,22,1,2,de,de,PRP,-,17,N<,(PP*,-,*,*,*,*,,,
22,23,1,2,os,o,ART,M|P,24,>N,(NP*,-,*,*,*,*,,,
23,24,1,2,eleitores,eleitor,N,M|P,22,P<,*))),-,*,*,*),*,,,
24,25,1,3,quer,querer,V-FIN,PR|3S|IND,7,N<PRED,(VP*),querer,*,*,(V*),*,,,
25,26,1,3,o,o,ART,M|S,27,>N,(NP*,-,*,*,(A1*,(A0*,,,
26,27,1,3,PT,PT,PROP,M|S,25,ACC,*),-,*,*,*),*),,,
27,28,1,4,participando,participar,V-GER,-,25,OC,(ICL(VP*),participar,*,*,(AM-LOC*,(V*),,,
28,29,1,4,de,de,PRP,-,28,PIV,(PP*,-,*,*,*,(A1*,,,
29,30,1,4,o,o,ART,M|S,31,>N,(NP*,-,*,*,*,*,,,
30,31,1,4,Governo,governo,N,M|S,29,P<,*,-,*,*,*,*,,,
31,32,1,4,Fernando_Henrique_Cardoso,Fernando_Henrique_Cardoso,PROP,M|S,31,N<,(NP*)))))),-,*),*,*),*),,,
32,33,1,4,.,-,PU,-,5,PU,*),-,*,*,*,*,,,
33,1,2,5,Tem,ter,V-FIN,PR|3S|IND,0,STA,(FCL(VP*),ter,(V*),,,,,,
34,2,2,5,sentido,sentido,N,M|S,1,ACC,(NP-*),-,(A1*),,,,,,
35,3,2,5,--,-,PU,-,1,PU,*,-,*,,,,,,
36,4,2,5,aliás,aliás,ADV,-,1,ADVL,(ADVP*),-,(AM-DIS*),,,,,,
37,5,2,5,",",-,PU,-,1,PU,*,-,*,,,,,,
38,6,2,5,muitíssimo,muitíssimo,PRON-DET,M|S,7,>N,(-NP(NP*,-,*,,,,,,
39,7,2,5,sentido,sentido,N,M|S,2,N<PRED,*)),-,*,,,,,,
40,8,2,5,.,-,PU,-,1,PU,*),-,*,,,,,,
41,1,3,5,Nem,nem,CONJ-C,-,2,CO,(FCL(CU*,-,(A0*,,,,,,
42,2,3,5,Lula,Lula,PROP,M|S,7,SUBJ,(NP*),-,*,,,,,,
43,3,3,5,nem,nem,CONJ-C,-,2,CO,*,-,*,,,,,,
44,4,3,5,o,o,ART,M|S,5,>N,(NP*,-,*,,,,,,
45,5,3,5,partido,partido,N,M|S,2,CJT,*)),-,*),,,,,,
46,6,3,5,ainda,ainda,ADV,-,7,ADVL,(ADVP*),-,(AM-ADV*),,,,,,
47,7,3,6,encontraram,encontrar,V-FIN,PS/MQP|3P|IND,0,STA,(VP*),encontrar,(V*),,,,,,
48,8,3,6,um,um,ART,M|S,9,>N,(NP*,-,(A1*,,,,,,
49,9,3,6,discurso,discurso,N,M|S,7,ACC,*,-,*,,,,,,
50,10,3,6,para,para,PRP,-,7,ACC,*,-,*,,,,,,
51,11,3,6,se,se,PRON-PERS,M|3S|ACC,12,ACC,(ICL(NP*),-,*,,,,,,
52,12,3,6,diferenciar,diferenciar,V-INF,-,10,P<,(VP*))),-,*),,,,,,
53,13,3,6,.,-,PU,-,7,PU,*),-,*,,,,,,
54,1,4,6,Eles,eles,PRON-PERS,M|3P|NOM,3,SUBJ,(CU(FCL(NP*),-,(A0*),*,(A0*),,,,
55,2,4,6,se,se,PRON-PERS,M|3P|ACC,3,ACC,(NP*),-,(V*),*,*,,,,
56,3,4,7,dizem,dizer,V-FIN,PR|3P|IND,0,STA,(VP*),dizer,(C-V*),*,*,,,,
57,4,4,7,oposição,oposição,N,F|S,3,OC,(NP*)),-,(A1*),*,*,,,,
58,5,4,7,",",-,PU,-,3,PU,*,-,*,*,*,,,,
59,6,4,7,mas,mas,CONJ-C,-,3,CO,*,-,*,*,*,,,,
60,7,4,7,ainda,ainda,ADV,-,8,>A,(FCL(ADVP*,-,*,(AM-NEG*,*,,,,
61,8,4,7,não,não,ADV,-,9,ADVL,*),-,*,*),*,,,,
62,9,4,8,informaram,informar,V-FIN,PS/MQP|3P|IND,3,CJT,(VP*),informar,*,(V*),*,,,,
63,10,4,8,o_que,o_que,PRON-INDP,M|S,12,ACC,(FCL(NP*),-,*,(A2*,(A1*),,,,
64,11,4,8,vão,ir,V-FIN,PR|3P|IND,9,ACC,(VP*,-,*,*,*,,,,
65,12,4,9,combater,combater,V-INF,-,11,MV,*))),combater,*,*),(V*),,,,
66,13,4,9,.,-,PU,-,3,PU,*),-,*,*,*,,,,
67,1,5,9,Muitas,muito,PRON-DET,F|P,9,SUBJ,(FCL(NP*,-,(A1*,,,,,,
68,2,5,9,de,de,PRP,-,1,N<,(PP*,-,*,,,,,,
69,3,5,9,as,o,ART,F|P,4,>N,(NP*,-,*,,,,,,
70,4,5,9,prioridades,prioridade,N,F|P,2,P<,*,-,*,,,,,,
71,5,5,9,de,de,PRP,-,4,N<,(PP*,-,*,,,,,,
72,6,5,9,o,o,ART,M|S,8,>N,(NP*,-,*,,,,,,
73,7,5,9,novo,novo,ADJ,M|S,8,>N,*,-,*,,,,,,
74,8,5,9,governo,governo,N,M|S,5,P<,*))))),-,*),,,,,,
75,9,5,10,coincidem,coincidir,V-FIN,PR|3P|IND,0,STA,(VP*),coincidir,(V*),,,,,,
76,10,5,10,com,com,PRP,-,9,PIV,(PP*,-,(A2*,,,,,,
77,11,5,10,as,o,ART,F|P,12,>N,(NP*,-,*,,,,,,
78,12,5,10,prioridades,prioridade,N,F|P,10,P<,*,-,*,,,,,,
79,13,5,10,de,de,PRP,-,12,N<,(PP*,-,*,,,,,,
80,14,5,10,o,o,ART,M|S,15,>N,(NP*,-,*,,,,,,
81,15,5,10,PT,PT,PROP,M|S,13,P<,*)))),-,*),,,,,,
82,16,5,10,.,-,PU,-,9,PU,*),-,*,,,,,,
83,1,6,10,«,-,PU,-,4,PU,(FCL*,-,*,,,,,,
84,2,6,10,Confissões,Confissões,PROP,F|S,4,SUBJ,(NP*),-,(A1*),,,,,,
85,3,6,10,»,-,PU,-,4,PU,*,-,*,,,,,,
86,4,6,11,chega,chegar,V-FIN,PR|3S|IND,0,STA,(VP*),chegar,(V*),,,,,,
87,5,6,11,a,a,PRP,-,4,SA,(PP*,-,(A4*,,,,,,
88,6,6,11,Portugal,Portugal,PROP,M|S,5,P<,(NP*))),-,*),,,,,,
89,1,7,11,Desde,desde,PRP,-,12,ADVL,(FCL(PP*,-,(AM-TMP*,,,,,,
90,2,7,11,o,o,ART,M|S,4,>N,(NP*,-,*,,,,,,
91,3,7,11,último,último,ADJ,M|S,4,>N,*,-,*,,,,,,
92,4,7,11,dia,dia,N,M|S,1,P<,*,-,*,,,,,,
93,5,7,11,13,13,NUM,M|P,4,N<,(ADJP*))),-,*),,,,,,
94,6,7,11,",",-,PU,-,10,PU,*,-,*,,,,,,
95,7,7,11,«,-,PU,-,10,PU,*,-,*,,,,,,
96,8,7,11,Confissões_de_Adolescente,Confissões_de_Adolescente,PROP,F|S,10,SUBJ,(NP*),-,(A1*),,,,,,
97,9,7,11,»,-,PU,-,10,PU,*,-,*,,,,,,
98,10,7,11,pode,poder,V-FIN,PR|3S|IND,0,STA,(VP*,-,*,,,,,,
99,11,7,11,ser,ser,V-INF,-,10,AUX,*,-,*,,,,,,
100,12,7,12,vista,ver,V-PCP,F|S,11,MV,*),ver,(V*),,,,,,
101,13,7,12,por,por,PRP,-,12,PASS,(PP*,-,(A0*,,,,,,
102,14,7,12,os,o,ART,M|P,15,>N,(NP*,-,*,,,,,,
103,15,7,12,teens,teen,N,M|P,13,P<,*,-,*,,,,,,
104,16,7,12,portugueses,português,ADJ,M|P,15,N<,(ADJP*))),-,*),,,,,,
105,17,7,12,.,-,PU,-,10,PU,*),-,*,,,,,,
106,1,8,12,A,o,ART,F|S,2,>N,(FCL(NP*,-,(A1*,,,,,,
107,2,8,12,série,série,N,F|S,8,SUBJ,*,-,*,,,,,,
108,3,8,12,exibida,exibir,V-PCP,F|S,2,N<,(ICL(VP*),-,*,,,,,,
109,4,8,12,aqui,aqui,ADV,-,3,ADVL,(ADVP*),-,*,,,,,,
110,5,8,12,por,por,PRP,-,3,PASS,(PP*,-,*,,,,,,
111,6,8,12,a,o,ART,F|S,7,>N,(NP*,-,*,,,,,,
112,7,8,12,Cultura,cultura,N,F|S,5,P<,*)))),-,*),,,,,,
113,8,8,13,estreou,estrear,V-FIN,PS|3S|IND,0,STA,(VP*),estrear,(V*),,,,,,
114,9,8,13,em,em,PRP,-,8,ADVL,(PP*,-,(AM-LOC*,,,,,,
115,10,8,13,a,o,ART,F|S,11,>N,(NP*,-,*,,,,,,
116,11,8,13,TVI,TVI,PROP,F|S,9,P<,*,-,*,,,,,,
117,12,8,13,de,de,PRP,-,11,N<,(PP*,-,*,,,,,,
118,13,8,13,Portugal,Portugal,PROP,M|S,12,P<,(NP*)))),-,*),,,,,,
119,14,8,13,.,-,PU,-,8,PU,*),-,*,,,,,,
120,1,9,13,Além_de,além_de,PRP,-,20,ADVL,(FCL(PP*,-,(AM-DIS*,,,,,,
121,2,9,13,isso,isso,PRON-INDP,M|S,1,P<,(NP*)),-,*),,,,,,
122,3,9,13,",",-,PU,-,18,PU,*,-,*,,,,,,
123,4,9,13,a,o,ART,F|S,5,>N,(NP*,-,(A2*,,,,,,
124,5,9,13,co-produção,co-produção,N,F|S,18,SUBJ,*,-,*,,,,,,
125,6,9,13,com,com,PRP,-,5,N<,(PP*,-,*,,,,,,
126,7,9,13,o,o,ART,M|S,8,>N,(NP*,-,*,,,,,,
127,8,9,13,canal,canal,N,M|S,6,P<,*,-,*,,,,,,
128,9,9,13,francês,francês,ADJ,M|S,8,N<,(ADJP*),-,*,,,,,,
129,10,9,13,TCF1,TCF1,PROP,M|S,8,N<,(NP*))),-,*,,,,,,
130,11,9,13,para,para,PRP,-,5,N<,(PP*,-,*,,,,,,
131,12,9,13,a,o,ART,F|S,13,>N,(NP*,-,*,,,,,,
132,13,9,13,realização,realização,N,F|S,11,P<,*,-,*,,,,,,
133,14,9,13,de,de,PRP,-,13,N<ARGO,(PP*,-,*,,,,,,
134,15,9,13,mais,mais,PRON-DET,M|P,17,>N,(NP*,-,*,,,,,,
135,16,9,13,30,30,NUM,M|P,17,>N,*,-,*,,,,,,
136,17,9,13,episódios,episódio,N,M|P,14,P<,*))))),-,*),,,,,,
137,18,9,13,continua,continuar,V-FIN,PR|3S|IND,0,STA,(VP*,-,*,,,,,,
138,19,9,13,sendo,ser,V-GER,-,18,AUX,*,-,*,,,,,,
139,20,9,14,negociada,negociar,V-PCP,F|S,19,MV,*),negociar,(V*),,,,,,
