,SHALLOW_CHUNKS
0,B-NP
1,B-NP
2,B-VP
3,B-ADVP
4,B-VP
5,B-NP
6,I-NP
7,I-NP
8,I-NP
9,B-VP
10,B-NP
11,I-NP
12,I-NP
13,O
14,B-NP
15,I-NP
16,I-NP
17,I-NP
18,I-NP
19,I-NP
20,I-NP
21,B-PP
22,I-PP
23,I-PP
24,B-VP
25,B-NP
26,I-NP
27,B-VP
28,B-PP
29,I-PP
30,I-PP
31,I-PP
32,O
33,B-NP
34,B-NP
35,B-VP
36,B-ADVP
37,B-VP
38,B-NP
39,I-NP
40,I-NP
41,I-NP
42,B-VP
43,B-NP
44,I-NP
45,I-NP
46,O
47,B-NP
48,I-NP
49,I-NP
50,I-NP
51,I-NP
52,I-NP
53,I-NP
54,B-PP
55,I-PP
56,I-PP
57,B-VP
58,B-NP
59,I-NP
60,B-VP
61,B-PP
62,I-PP
63,I-PP
64,I-PP
65,O
66,B-NP
67,B-NP
68,B-VP
69,B-ADVP
70,B-VP
71,B-NP
72,I-NP
73,I-NP
74,I-NP
75,B-VP
76,B-NP
77,I-NP
78,I-NP
79,O
80,B-NP
81,I-NP
82,I-NP
83,I-NP
84,I-NP
85,I-NP
86,I-NP
87,B-PP
88,I-PP
89,I-PP
90,B-VP
91,B-NP
92,I-NP
93,B-VP
94,B-PP
95,I-PP
96,I-PP
97,I-PP
98,O
99,B-NP
100,B-NP
101,B-VP
102,B-ADVP
103,B-VP
104,B-NP
105,I-NP
106,I-NP
107,I-NP
108,B-VP
109,B-NP
110,I-NP
111,I-NP
112,O
113,B-NP
114,I-NP
115,I-NP
116,I-NP
117,I-NP
118,I-NP
119,I-NP
120,B-PP
121,I-PP
122,I-PP
123,B-VP
124,B-NP
125,I-NP
126,B-VP
127,B-PP
128,I-PP
129,I-PP
130,I-PP
131,O
132,B-VP
133,B-NP
134,O
135,B-ADVP
136,O
137,B-NP
138,I-NP
139,O
140,O
141,B-NP
142,O
143,B-NP
144,I-NP
145,B-ADVP
146,B-VP
147,B-NP
148,I-NP
149,I-NP
150,B-NP
151,B-VP
152,O
153,B-NP
154,B-NP
155,B-VP
156,B-NP
157,O
158,O
159,B-ADVP
160,I-ADVP
161,B-VP
162,B-NP
163,B-VP
164,I-VP
165,O
166,B-NP
167,B-NP
168,B-VP
169,B-NP
170,O
171,O
172,B-ADVP
173,I-ADVP
174,B-VP
175,B-NP
176,B-VP
177,I-VP
178,O
179,B-NP
180,B-NP
181,B-VP
182,B-NP
183,O
184,O
185,B-ADVP
186,I-ADVP
187,B-VP
188,B-NP
189,B-VP
190,I-VP
191,O
192,B-NP
193,B-PP
194,I-PP
195,I-PP
196,I-PP
197,I-PP
198,I-PP
199,I-PP
200,B-VP
201,B-PP
202,I-PP
203,I-PP
204,I-PP
205,I-PP
206,I-PP
207,O
208,O
209,B-NP
210,O
211,B-VP
212,B-PP
213,I-PP
214,B-PP
215,I-PP
216,I-PP
217,I-PP
218,I-PP
219,O
220,O
221,B-NP
222,O
223,B-VP
224,I-VP
225,I-VP
226,B-PP
227,I-PP
228,I-PP
229,I-PP
230,O
231,B-NP
232,I-NP
233,B-VP
234,B-ADVP
235,B-PP
236,I-PP
237,I-PP
238,B-VP
239,B-PP
240,I-PP
241,I-PP
242,I-PP
243,I-PP
244,O
245,B-PP
246,I-PP
247,O
248,B-NP
249,I-NP
250,B-PP
251,I-PP
252,I-PP
253,I-PP
254,I-PP
255,B-PP
256,I-PP
257,I-PP
258,I-PP
259,I-PP
260,I-PP
261,I-PP
262,B-VP
263,I-VP
264,I-VP
265,O
266,B-NP
267,B-VP
268,B-NP
269,I-NP
270,O
271,B-NP
272,O
273,B-VP
274,B-NP
275,I-NP
276,B-PP
