,IOB
0,O
1,B-A0
2,I-A0
3,I-A0
4,B-V
5,B-A1
6,I-A1
7,I-A1
8,I-A1
9,I-A1
10,I-A1
11,I-A1
12,I-A1
13,I-A1
14,I-A1
15,I-A1
16,I-A1
17,I-A1
18,I-A1
19,I-A1
20,I-A1
21,I-A1
22,I-A1
23,I-A1
24,I-A1
25,I-A1
26,I-A1
27,I-A1
28,I-A1
29,I-A1
30,I-A1
31,I-A1
32,O
33,O
34,O
35,O
36,O
37,O
38,O
39,O
40,O
41,O
42,B-V
43,B-A1
44,I-A1
45,I-A1
46,O
47,O
48,O
49,O
50,O
51,O
52,O
53,O
54,O
55,O
56,O
57,O
58,O
59,O
60,O
61,O
62,O
63,O
64,O
65,O
66,O
67,O
68,O
69,O
70,O
71,O
72,O
73,O
74,O
75,B-AM-ADV
76,I-AM-ADV
77,I-AM-ADV
78,I-AM-ADV
79,O
80,B-A0
81,I-A0
82,I-A0
83,I-A0
84,I-A0
85,I-A0
86,I-A0
87,I-A0
88,I-A0
89,I-A0
90,B-V
91,B-A1
92,I-A1
93,B-AM-LOC
94,I-AM-LOC
95,I-AM-LOC
96,I-AM-LOC
97,I-AM-LOC
98,O
99,O
100,O
101,O
102,O
103,O
104,O
105,O
106,O
107,O
108,O
109,O
110,O
111,O
112,O
113,O
114,O
115,O
116,O
117,O
118,O
119,O
120,O
121,O
122,O
123,O
124,B-A0
125,I-A0
126,B-V
127,B-A1
128,I-A1
129,I-A1
130,I-A1
131,O
132,B-V
133,B-A1
134,O
135,B-AM-DIS
136,O
137,B-C-A1
138,I-C-A1
139,O
140,B-A0
141,I-A0
142,I-A0
143,I-A0
144,I-A0
145,B-AM-ADV
146,B-V
147,B-A1
148,I-A1
149,I-A1
150,I-A1
151,I-A1
152,O
153,B-A0
154,B-V
155,B-C-V
156,B-A1
157,O
158,O
159,O
160,O
161,O
162,O
163,O
164,O
165,O
166,O
167,O
168,O
169,O
170,O
171,O
172,B-AM-NEG
173,I-AM-NEG
174,B-V
175,B-A1
176,I-A1
177,I-A1
178,O
179,B-A0
180,O
181,O
182,O
183,O
184,O
185,O
186,O
187,O
188,B-A1
189,O
190,B-V
191,O
192,B-A1
193,I-A1
194,I-A1
195,I-A1
196,I-A1
197,I-A1
198,I-A1
199,I-A1
200,B-V
201,B-A1
202,I-A1
203,I-A1
204,I-A1
205,I-A1
206,I-A1
207,O
208,O
209,B-A0
210,O
211,B-V
212,B-AM-LOC
213,I-AM-LOC
214,B-AM-TMP
215,I-AM-TMP
216,I-AM-TMP
217,I-AM-TMP
218,I-AM-TMP
219,O
220,O
221,B-A1
222,O
223,O
224,O
225,B-V
226,B-A0
227,I-A0
228,I-A0
229,I-A0
230,O
231,B-A1
232,I-A1
233,I-A1
234,I-A1
235,I-A1
236,I-A1
237,I-A1
238,B-V
239,B-AM-LOC
240,I-AM-LOC
241,I-AM-LOC
242,I-AM-LOC
243,I-AM-LOC
244,O
245,B-AM-DIS
246,I-AM-DIS
247,O
248,B-A2
249,I-A2
250,I-A2
251,I-A2
252,I-A2
253,I-A2
254,I-A2
255,I-A2
256,I-A2
257,I-A2
258,I-A2
259,I-A2
260,I-A2
261,I-A2
262,O
263,O
264,B-V
265,O
266,B-A0
267,B-V
268,B-A1
269,I-A1
270,O
271,O
272,O
273,O
274,O
275,O
276,O
277,O
278,O
279,O
280,O
281,B-A1
282,B-V
283,B-AM-TMP
284,O
285,B-AM-TMP
286,I-AM-TMP
287,I-AM-TMP
288,O
289,B-AM-LOC
290,I-AM-LOC
291,I-AM-LOC
292,O
293,B-AM-PRD
294,I-AM-PRD
295,I-AM-PRD
296,I-AM-PRD
297,I-AM-PRD
298,O
299,B-A0
300,I-A0
301,B-V
302,B-A1
303,I-A1
304,I-A1
305,I-A1
306,O
307,B-A1
308,I-A1
309,I-A1
310,I-A1
311,I-A1
312,I-A1
313,O
314,B-V
315,B-A0
316,I-A0
317,O
318,B-A0
319,I-A0
320,B-A1
321,B-V
322,B-A2
323,I-A2
324,I-A2
325,I-A2
326,I-A2
327,I-A2
328,I-A2
329,I-A2
330,I-A2
331,I-A2
332,I-A2
333,I-A2
334,I-A2
335,I-A2
336,I-A2
337,I-A2
338,I-A2
339,I-A2
340,O
341,B-A1
342,I-A1
343,I-A1
344,I-A1
345,I-A1
346,I-A1
347,I-A1
348,I-A1
349,O
350,B-V
351,B-A0
352,I-A0
353,I-A0
354,O
355,O
356,O
357,O
358,O
359,O
360,O
361,O
362,O
363,O
364,O
365,O
366,O
367,O
368,O
369,O
370,O
371,O
372,O
373,O
374,O
375,O
376,B-V
377,B-A1
378,B-AM-LOC
379,I-AM-LOC
380,I-AM-LOC
381,O
382,O
383,O
384,O
385,O
386,O
387,O
388,O
389,O
390,B-A0
391,I-A0
392,O
393,B-V
394,B-AM-TMP
395,B-A1
396,I-A1
397,O
398,O
399,O
400,O
401,B-A0
402,O
403,O
404,B-AM-REC
405,B-V
406,B-AM-TMP
407,I-AM-TMP
408,I-AM-TMP
409,I-AM-TMP
410,O
411,O
