,CHUNK_CANDIDATE_ID,CHUNK_FINISH,CHUNK_ID,CHUNK_LEN,CHUNK_START
0,0,1,1,1,0
1,35,4,2,3,1
2,35,4,2,3,1
3,35,4,2,3,1
4,126,5,3,1,4
5,181,32,4,27,5
6,181,32,4,27,5
7,181,32,4,27,5
8,181,32,4,27,5
9,181,32,4,27,5
10,181,32,4,27,5
11,181,32,4,27,5
12,181,32,4,27,5
13,181,32,4,27,5
14,181,32,4,27,5
15,181,32,4,27,5
16,181,32,4,27,5
17,181,32,4,27,5
18,181,32,4,27,5
19,181,32,4,27,5
20,181,32,4,27,5
21,181,32,4,27,5
22,181,32,4,27,5
23,181,32,4,27,5
24,181,32,4,27,5
25,181,32,4,27,5
26,181,32,4,27,5
27,181,32,4,27,5
28,181,32,4,27,5
29,181,32,4,27,5
30,181,32,4,27,5
31,181,32,4,27,5
32,560,33,5,1,32
33,8,9,6,9,0
34,8,9,6,9,0
35,8,9,6,9,0
36,8,9,6,9,0
37,8,9,6,9,0
38,8,9,6,9,0
39,8,9,6,9,0
40,8,9,6,9,0
41,8,9,6,9,0
42,261,10,7,1,9
43,287,13,8,3,10
44,287,13,8,3,10
45,287,13,8,3,10
46,370,33,9,20,13
47,370,33,9,20,13
48,370,33,9,20,13
49,370,33,9,20,13
50,370,33,9,20,13
51,370,33,9,20,13
52,370,33,9,20,13
53,370,33,9,20,13
54,370,33,9,20,13
55,370,33,9,20,13
56,370,33,9,20,13
57,370,33,9,20,13
58,370,33,9,20,13
59,370,33,9,20,13
60,370,33,9,20,13
61,370,33,9,20,13
62,370,33,9,20,13
63,370,33,9,20,13
64,370,33,9,20,13
65,370,33,9,20,13
66,8,9,10,9,0
67,8,9,10,9,0
68,8,9,10,9,0
69,8,9,10,9,0
70,8,9,10,9,0
71,8,9,10,9,0
72,8,9,10,9,0
73,8,9,10,9,0
74,8,9,10,9,0
75,264,13,11,4,9
76,264,13,11,4,9
77,264,13,11,4,9
78,264,13,11,4,9
79,351,14,12,1,13
80,380,24,13,10,14
81,380,24,13,10,14
82,380,24,13,10,14
83,380,24,13,10,14
84,380,24,13,10,14
85,380,24,13,10,14
86,380,24,13,10,14
87,380,24,13,10,14
88,380,24,13,10,14
89,380,24,13,10,14
90,516,25,14,1,24
91,526,27,15,2,25
92,526,27,15,2,25
93,544,32,16,5,27
94,544,32,16,5,27
95,544,32,16,5,27
96,544,32,16,5,27
97,544,32,16,5,27
98,560,33,17,1,32
