,LEMMA_CHILD_1,LEMMA_CHILD_2,LEMMA_CHILD_3,LEMMA_GRAND_PARENT,LEMMA_PARENT
0,,,,,revelar
1,publicar,,,,revelar
2,hoje,,,revelar,Pesquisa_Datafolha
3,,,,Pesquisa_Datafolha,publicar
4,Brasília,Pesquisa_Datafolha,dado,,
5,,,,revelar,dado
6,um,surpreendente,-,,revelar
7,,,,revelar,dado
8,,,,revelar,dado
9,postura,,,dado,querer
10,,,,recusar,postura
11,um,radical,,querer,recusar
12,,,,recusar,postura
13,,,,dado,querer
14,,,,querer,maioria
15,,,,querer,maioria
16,o,esmagador,-,dado,querer
17,,,,querer,maioria
18,,,,maioria,%
19,77,,,querer,maioria
20,,,,querer,maioria
21,eleitor,,,querer,maioria
22,,,,de,eleitor
23,o,,,maioria,de
24,recusar,-,maioria,revelar,dado
25,,,,querer,PT
26,o,,,dado,querer
27,de,,,dado,querer
28,governo,,,querer,participar
29,,,,de,governo
30,o,Fernando_Henrique_Cardoso,,participar,de
31,,,,de,governo
32,,,,,revelar
33,,,,,revelar
34,publicar,,,,revelar
35,hoje,,,revelar,Pesquisa_Datafolha
36,,,,Pesquisa_Datafolha,publicar
37,Brasília,Pesquisa_Datafolha,dado,,
38,,,,revelar,dado
39,um,surpreendente,-,,revelar
40,,,,revelar,dado
41,,,,revelar,dado
42,postura,,,dado,querer
43,,,,recusar,postura
44,um,radical,,querer,recusar
45,,,,recusar,postura
46,,,,dado,querer
47,,,,querer,maioria
48,,,,querer,maioria
49,o,esmagador,-,dado,querer
50,,,,querer,maioria
51,,,,maioria,%
52,77,,,querer,maioria
53,,,,querer,maioria
54,eleitor,,,querer,maioria
55,,,,de,eleitor
56,o,,,maioria,de
57,recusar,-,maioria,revelar,dado
58,,,,querer,PT
59,o,,,dado,querer
60,de,,,dado,querer
61,governo,,,querer,participar
62,,,,de,governo
63,o,Fernando_Henrique_Cardoso,,participar,de
64,,,,de,governo
65,,,,,revelar
66,,,,,revelar
67,publicar,,,,revelar
68,hoje,,,revelar,Pesquisa_Datafolha
69,,,,Pesquisa_Datafolha,publicar
70,Brasília,Pesquisa_Datafolha,dado,,
71,,,,revelar,dado
72,um,surpreendente,-,,revelar
73,,,,revelar,dado
74,,,,revelar,dado
75,postura,,,dado,querer
76,,,,recusar,postura
77,um,radical,,querer,recusar
78,,,,recusar,postura
79,,,,dado,querer
80,,,,querer,maioria
81,,,,querer,maioria
82,o,esmagador,-,dado,querer
83,,,,querer,maioria
84,,,,maioria,%
85,77,,,querer,maioria
86,,,,querer,maioria
87,eleitor,,,querer,maioria
88,,,,de,eleitor
89,o,,,maioria,de
90,recusar,-,maioria,revelar,dado
91,,,,querer,PT
92,o,,,dado,querer
93,de,,,dado,querer
94,governo,,,querer,participar
95,,,,de,governo
96,o,Fernando_Henrique_Cardoso,,participar,de
97,,,,de,governo
98,,,,,revelar
99,,,,,revelar
100,publicar,,,,revelar
101,hoje,,,revelar,Pesquisa_Datafolha
102,,,,Pesquisa_Datafolha,publicar
103,Brasília,Pesquisa_Datafolha,dado,,
104,,,,revelar,dado
105,um,surpreendente,-,,revelar
106,,,,revelar,dado
107,,,,revelar,dado
108,postura,,,dado,querer
109,,,,recusar,postura
110,um,radical,,querer,recusar
111,,,,recusar,postura
112,,,,dado,querer
113,,,,querer,maioria
114,,,,querer,maioria
115,o,esmagador,-,dado,querer
116,,,,querer,maioria
117,,,,maioria,%
118,77,,,querer,maioria
119,,,,querer,maioria
