,FORM_CTX_P+0,FORM_CTX_P+1,FORM_CTX_P-1
0,revela,um,hoje
1,revela,um,hoje
2,revela,um,hoje
3,revela,um,hoje
4,revela,um,hoje
5,revela,um,hoje
6,revela,um,hoje
7,revela,um,hoje
8,revela,um,hoje
9,revela,um,hoje
10,revela,um,hoje
11,revela,um,hoje
12,revela,um,hoje
13,revela,um,hoje
14,revela,um,hoje
15,revela,um,hoje
16,revela,um,hoje
17,revela,um,hoje
18,revela,um,hoje
19,revela,um,hoje
20,revela,um,hoje
21,revela,um,hoje
22,revela,um,hoje
23,revela,um,hoje
24,revela,um,hoje
25,revela,um,hoje
26,revela,um,hoje
27,revela,um,hoje
28,revela,um,hoje
29,revela,um,hoje
30,revela,um,hoje
31,revela,um,hoje
32,revela,um,hoje
33,recusando,uma,:
34,recusando,uma,:
35,recusando,uma,:
36,recusando,uma,:
37,recusando,uma,:
38,recusando,uma,:
39,recusando,uma,:
40,recusando,uma,:
41,recusando,uma,:
42,recusando,uma,:
43,recusando,uma,:
44,recusando,uma,:
45,recusando,uma,:
46,recusando,uma,:
47,recusando,uma,:
48,recusando,uma,:
49,recusando,uma,:
50,recusando,uma,:
51,recusando,uma,:
52,recusando,uma,:
53,recusando,uma,:
54,recusando,uma,:
55,recusando,uma,:
56,recusando,uma,:
57,recusando,uma,:
58,recusando,uma,:
59,recusando,uma,:
60,recusando,uma,:
61,recusando,uma,:
62,recusando,uma,:
63,recusando,uma,:
64,recusando,uma,:
65,recusando,uma,:
66,quer,o,eleitores
67,quer,o,eleitores
68,quer,o,eleitores
69,quer,o,eleitores
70,quer,o,eleitores
71,quer,o,eleitores
72,quer,o,eleitores
73,quer,o,eleitores
74,quer,o,eleitores
75,quer,o,eleitores
76,quer,o,eleitores
77,quer,o,eleitores
78,quer,o,eleitores
79,quer,o,eleitores
80,quer,o,eleitores
81,quer,o,eleitores
82,quer,o,eleitores
83,quer,o,eleitores
84,quer,o,eleitores
85,quer,o,eleitores
86,quer,o,eleitores
87,quer,o,eleitores
88,quer,o,eleitores
89,quer,o,eleitores
90,quer,o,eleitores
91,quer,o,eleitores
92,quer,o,eleitores
93,quer,o,eleitores
94,quer,o,eleitores
95,quer,o,eleitores
96,quer,o,eleitores
97,quer,o,eleitores
98,quer,o,eleitores
99,participando,de,PT
100,participando,de,PT
101,participando,de,PT
