,FUNC_CTX_P+0,FUNC_CTX_P+1,FUNC_CTX_P-1
0,STA,>N,ADVL
1,STA,>N,ADVL
2,STA,>N,ADVL
3,STA,>N,ADVL
4,STA,>N,ADVL
5,STA,>N,ADVL
6,STA,>N,ADVL
7,STA,>N,ADVL
8,STA,>N,ADVL
9,STA,>N,ADVL
10,STA,>N,ADVL
11,STA,>N,ADVL
12,STA,>N,ADVL
13,STA,>N,ADVL
14,STA,>N,ADVL
15,STA,>N,ADVL
16,STA,>N,ADVL
17,STA,>N,ADVL
18,STA,>N,ADVL
19,STA,>N,ADVL
20,STA,>N,ADVL
21,STA,>N,ADVL
22,STA,>N,ADVL
23,STA,>N,ADVL
24,STA,>N,ADVL
25,STA,>N,ADVL
26,STA,>N,ADVL
27,STA,>N,ADVL
28,STA,>N,ADVL
29,STA,>N,ADVL
30,STA,>N,ADVL
31,STA,>N,ADVL
32,STA,>N,ADVL
33,ADVL,>N,PU
34,ADVL,>N,PU
35,ADVL,>N,PU
36,ADVL,>N,PU
37,ADVL,>N,PU
38,ADVL,>N,PU
39,ADVL,>N,PU
40,ADVL,>N,PU
41,ADVL,>N,PU
42,ADVL,>N,PU
43,ADVL,>N,PU
44,ADVL,>N,PU
45,ADVL,>N,PU
46,ADVL,>N,PU
47,ADVL,>N,PU
48,ADVL,>N,PU
49,ADVL,>N,PU
50,ADVL,>N,PU
51,ADVL,>N,PU
52,ADVL,>N,PU
53,ADVL,>N,PU
54,ADVL,>N,PU
55,ADVL,>N,PU
56,ADVL,>N,PU
57,ADVL,>N,PU
58,ADVL,>N,PU
59,ADVL,>N,PU
60,ADVL,>N,PU
61,ADVL,>N,PU
62,ADVL,>N,PU
63,ADVL,>N,PU
64,ADVL,>N,PU
65,ADVL,>N,PU
66,N<PRED,>N,P<
67,N<PRED,>N,P<
68,N<PRED,>N,P<
69,N<PRED,>N,P<
70,N<PRED,>N,P<
71,N<PRED,>N,P<
72,N<PRED,>N,P<
73,N<PRED,>N,P<
74,N<PRED,>N,P<
75,N<PRED,>N,P<
76,N<PRED,>N,P<
77,N<PRED,>N,P<
78,N<PRED,>N,P<
79,N<PRED,>N,P<
80,N<PRED,>N,P<
81,N<PRED,>N,P<
82,N<PRED,>N,P<
83,N<PRED,>N,P<
84,N<PRED,>N,P<
85,N<PRED,>N,P<
86,N<PRED,>N,P<
87,N<PRED,>N,P<
88,N<PRED,>N,P<
89,N<PRED,>N,P<
90,N<PRED,>N,P<
91,N<PRED,>N,P<
92,N<PRED,>N,P<
93,N<PRED,>N,P<
94,N<PRED,>N,P<
95,N<PRED,>N,P<
96,N<PRED,>N,P<
97,N<PRED,>N,P<
98,N<PRED,>N,P<
99,OC,PIV,ACC
100,OC,PIV,ACC
101,OC,PIV,ACC
102,OC,PIV,ACC
103,OC,PIV,ACC
104,OC,PIV,ACC
105,OC,PIV,ACC
106,OC,PIV,ACC
107,OC,PIV,ACC
108,OC,PIV,ACC
109,OC,PIV,ACC
110,OC,PIV,ACC
