,LEMMA_CTX_P+0,LEMMA_CTX_P+1,LEMMA_CTX_P-1
0,revelar,um,hoje
1,revelar,um,hoje
2,revelar,um,hoje
3,revelar,um,hoje
4,revelar,um,hoje
5,revelar,um,hoje
6,revelar,um,hoje
7,revelar,um,hoje
8,revelar,um,hoje
9,revelar,um,hoje
10,revelar,um,hoje
11,revelar,um,hoje
12,revelar,um,hoje
13,revelar,um,hoje
14,revelar,um,hoje
15,revelar,um,hoje
16,revelar,um,hoje
17,revelar,um,hoje
18,revelar,um,hoje
19,revelar,um,hoje
20,revelar,um,hoje
21,revelar,um,hoje
22,revelar,um,hoje
23,revelar,um,hoje
24,revelar,um,hoje
25,revelar,um,hoje
26,revelar,um,hoje
27,revelar,um,hoje
28,revelar,um,hoje
29,revelar,um,hoje
30,revelar,um,hoje
31,revelar,um,hoje
32,revelar,um,hoje
33,recusar,um,-
34,recusar,um,-
35,recusar,um,-
36,recusar,um,-
37,recusar,um,-
38,recusar,um,-
39,recusar,um,-
40,recusar,um,-
41,recusar,um,-
42,recusar,um,-
43,recusar,um,-
44,recusar,um,-
45,recusar,um,-
46,recusar,um,-
47,recusar,um,-
48,recusar,um,-
49,recusar,um,-
50,recusar,um,-
51,recusar,um,-
52,recusar,um,-
53,recusar,um,-
54,recusar,um,-
55,recusar,um,-
56,recusar,um,-
57,recusar,um,-
58,recusar,um,-
59,recusar,um,-
60,recusar,um,-
61,recusar,um,-
62,recusar,um,-
63,recusar,um,-
64,recusar,um,-
65,recusar,um,-
66,querer,o,eleitor
67,querer,o,eleitor
68,querer,o,eleitor
69,querer,o,eleitor
70,querer,o,eleitor
71,querer,o,eleitor
72,querer,o,eleitor
73,querer,o,eleitor
74,querer,o,eleitor
75,querer,o,eleitor
76,querer,o,eleitor
77,querer,o,eleitor
78,querer,o,eleitor
79,querer,o,eleitor
80,querer,o,eleitor
81,querer,o,eleitor
82,querer,o,eleitor
83,querer,o,eleitor
84,querer,o,eleitor
85,querer,o,eleitor
86,querer,o,eleitor
87,querer,o,eleitor
88,querer,o,eleitor
89,querer,o,eleitor
90,querer,o,eleitor
91,querer,o,eleitor
92,querer,o,eleitor
93,querer,o,eleitor
94,querer,o,eleitor
95,querer,o,eleitor
96,querer,o,eleitor
97,querer,o,eleitor
98,querer,o,eleitor
99,participar,de,PT
100,participar,de,PT
101,participar,de,PT
102,participar,de,PT
103,participar,de,PT
104,participar,de,PT
105,participar,de,PT
106,participar,de,PT
107,participar,de,PT
108,participar,de,PT
109,participar,de,PT
110,participar,de,PT
111,participar,de,PT
112,participar,de,PT
113,participar,de,PT
114,participar,de,PT
115,participar,de,PT
116,participar,de,PT
117,participar,de,PT
118,participar,de,PT
119,participar,de,PT
120,participar,de,PT
121,participar,de,PT
122,participar,de,PT
123,participar,de,PT
124,participar,de,PT
125,participar,de,PT
126,participar,de,PT
127,participar,de,PT
128,participar,de,PT
129,participar,de,PT
130,participar,de,PT
131,participar,de,PT
