INDEX,ID,S,P,P_S,FORM,LEMMA,GPOS,MORF,DTREE,FUNC,CTREE,PRED,ARG,CTX_P+1,CTX_P+2,CTX_P+3,CTX_P-1,CTX_P-2,CTX_P-3,M_R,PRED_1,T
136144,1,3205,5669,0,A,o,ART,F|S,2,>N,(FCL(NP*,-,(A1*,um,alternativa,para,hidroginástica,o,-,0,ser,A1
136145,2,3205,5669,0,hidroginástica,hidroginástica,N,F|S,3,SUBJ,*),-,*),um,alternativa,para,hidroginástica,o,-,0,ser,A1
136146,3,3205,5669,0,é,ser,V-FIN,PR|3S|IND,0,STA,(VP*),ser,(V*),um,alternativa,para,hidroginástica,o,-,1,ser,V
136147,4,3205,5669,0,uma,um,ART,F|S,5,>N,(NP*,-,(A2*,um,alternativa,para,hidroginástica,o,-,1,ser,A2
136148,5,3205,5669,0,alternativa,alternativa,N,F|S,3,SC,*,-,*,um,alternativa,para,hidroginástica,o,-,1,ser,A2
136149,6,3205,5669,0,para,para,PRP,-,5,N<,(PP*,-,*,um,alternativa,para,hidroginástica,o,-,1,ser,A2
136150,7,3205,5669,0,quem,quem,PRON-INDP,M/F|S,9,SUBJ,(FCL(NP*),-,*,um,alternativa,para,hidroginástica,o,-,1,ser,A2
136151,8,3205,5669,0,não,não,ADV,-,9,ADVL,(ADVP*),-,*,um,alternativa,para,hidroginástica,o,-,1,ser,A2
136152,9,3205,5669,0,tem,ter,V-FIN,PR|3S|IND,6,P<,(VP*),-,*,um,alternativa,para,hidroginástica,o,-,1,ser,A2
136153,10,3205,5669,0,acompanhante,acompanhante,N,M|S,9,ACC,(NP*)))),-,*),um,alternativa,para,hidroginástica,o,-,1,ser,A2
136154,11,3205,5669,0,.,-,PU,-,3,PU,*),-,*,um,alternativa,para,hidroginástica,o,-,1,ser,*
136155,1,3205,5670,1,A,o,ART,F|S,2,>N,(FCL(NP*,-,*,acompanhante,-,-,não,quem,para,0,ter,*
136156,2,3205,5670,1,hidroginástica,hidroginástica,N,F|S,3,SUBJ,*),-,*,acompanhante,-,-,não,quem,para,0,ter,*
136157,3,3205,5670,1,é,ser,V-FIN,PR|3S|IND,0,STA,(VP*),-,*,acompanhante,-,-,não,quem,para,0,ter,*
136158,4,3205,5670,1,uma,um,ART,F|S,5,>N,(NP*,-,*,acompanhante,-,-,não,quem,para,0,ter,*
136159,5,3205,5670,1,alternativa,alternativa,N,F|S,3,SC,*,-,*,acompanhante,-,-,não,quem,para,0,ter,*
136160,6,3205,5670,1,para,para,PRP,-,5,N<,(PP*,-,*,acompanhante,-,-,não,quem,para,0,ter,*
136161,7,3205,5670,1,quem,quem,PRON-INDP,M/F|S,9,SUBJ,(FCL(NP*),-,(A0*),acompanhante,-,-,não,quem,para,0,ter,A0
136162,8,3205,5670,1,não,não,ADV,-,9,ADVL,(ADVP*),-,(AM-NEG*),acompanhante,-,-,não,quem,para,0,ter,AM-NEG
136163,9,3205,5670,1,tem,ter,V-FIN,PR|3S|IND,6,P<,(VP*),ter,(V*),acompanhante,-,-,não,quem,para,1,ter,V
136164,10,3205,5670,1,acompanhante,acompanhante,N,M|S,9,ACC,(NP*)))),-,(A1*),acompanhante,-,-,não,quem,para,1,ter,A1
136165,11,3205,5670,1,.,-,PU,-,3,PU,*),-,*,acompanhante,-,-,não,quem,para,1,ter,*
136166,1,3206,5671,0,A,o,ART,F|S,2,>N,(FCL(NP*,-,(A0*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136167,2,3206,5671,0,professora,professora,N,F|S,12,SUBJ,*,-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136168,3,3206,5671,0,Cláudia_Morgado,Cláudia_Morgado,PROP,F|S,2,N<,(NP*),-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136169,4,3206,5671,0,",",-,PU,-,2,PU,*,-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136170,5,3206,5671,0,25,25,NUM,M|P,2,N<PRED,(ADJP*),-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
136171,6,3206,5671,0,",",-,PU,-,2,PU,*,-,*,exercício,leve,-,-,Competition,academia,0,recomendar,A0
