INDEX,ID,S,P,P_S,FORM,LEMMA,GPOS,MORF,DTREE,FUNC,CTREE,PRED,ARG,CTX_P+1,CTX_P+2,CTX_P+3,CTX_P-1,CTX_P-2,CTX_P-3,M_R,PRED_1,T
123846,1,2879,5100,0,Entre,entre,PRP,-,4,ADVL,(FCL(PP*,-,(A2*,o,-,rei,convidado,o,entre,0,estar,A2
123847,2,2879,5100,0,os,o,ART,M|P,3,>N,(NP*,-,*,o,-,rei,convidado,o,entre,0,estar,A2
123848,3,2879,5100,0,convidados,convidado,N,M|P,1,P<,*)),-,*),o,-,rei,convidado,o,entre,0,estar,A2
123849,4,2879,5100,0,estão,estar,V-FIN,PR|3P|IND,0,STA,(VP*),estar,(V*),o,-,rei,convidado,o,entre,1,estar,V
123850,5,2879,5100,0,o,o,ART,M|S,7,>N,(CU(NP*,-,(A1*,o,-,rei,convidado,o,entre,1,estar,A1
123851,6,2879,5100,0,«,-,PU,-,7,PU,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123852,7,2879,5100,0,rei,rei,N,M|S,4,SUBJ,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123853,8,2879,5100,0,de,de,PRP,-,7,N<,(PP*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123854,9,2879,5100,0,a,o,ART,F|S,10,>N,(NP*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123855,10,2879,5100,0,soja,soja,N,F|S,8,P<,*)),-,*,o,-,rei,convidado,o,entre,1,estar,A1
123856,11,2879,5100,0,»,-,PU,-,7,PU,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123857,12,2879,5100,0,",",-,PU,-,7,PU,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123858,13,2879,5100,0,Olacyr_de_Moraes,Olacyr_de_Moraes,PROP,M|S,7,APP,(NP*),-,*,o,-,rei,convidado,o,entre,1,estar,A1
123859,14,2879,5100,0,",",-,PU,-,7,PU,*),-,*,o,-,rei,convidado,o,entre,1,estar,A1
123860,15,2879,5100,0,o,o,ART,M|S,16,>N,(NP*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123861,16,2879,5100,0,empresário,empresário,N,M|S,7,CJT,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123862,17,2879,5100,0,Alfredo_Saad,Alfredo_Saad,PROP,M|S,16,N<,(NP*)),-,*,o,-,rei,convidado,o,entre,1,estar,A1
123863,18,2879,5100,0,e,e,CONJ-C,-,7,CO,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123864,19,2879,5100,0,o,o,ART,M|S,20,>N,(NP*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123865,20,2879,5100,0,comandante,comandante,N,M|S,7,CJT,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123866,21,2879,5100,0,Rolim_Amaro,Rolim_Amaro,PROP,M|S,20,N<,(NP*),-,*,o,-,rei,convidado,o,entre,1,estar,A1
123867,22,2879,5100,0,",",-,PU,-,20,PU,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123868,23,2879,5100,0,dono,dono,N,M|S,20,N<PRED,(NP*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123869,24,2879,5100,0,de,de,PRP,-,23,N<,(PP*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123870,25,2879,5100,0,a,o,ART,F|S,26,>N,(NP*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123871,26,2879,5100,0,empresa,empresa,N,F|S,24,P<,*,-,*,o,-,rei,convidado,o,entre,1,estar,A1
123872,27,2879,5100,0,aérea,aéreo,ADJ,F|S,26,N<,(ADJP*),-,*,o,-,rei,convidado,o,entre,1,estar,A1
123873,28,2879,5100,0,TAM,TAM,PROP,F|S,26,N<,(NP*)))))),-,*),o,-,rei,convidado,o,entre,1,estar,A1
123874,29,2879,5100,0,.,-,PU,-,4,PU,*),-,*,o,-,rei,convidado,o,entre,1,estar,*
123875,1,2880,5101,0,Os,o,ART,M|P,2,>N,(FCL(NP*,-,(A0*,que,Lídice,estar,prefeitura,o,de,0,reclamar,A0
123876,2,2880,5101,0,funcionários,funcionário,N,M|P,6,SUBJ,*,-,*,que,Lídice,estar,prefeitura,o,de,0,reclamar,A0
123877,3,2880,5101,0,de,de,PRP,-,2,N<,(PP*,-,*,que,Lídice,estar,prefeitura,o,de,0,reclamar,A0
123878,4,2880,5101,0,a,o,ART,F|S,5,>N,(NP*,-,*,que,Lídice,estar,prefeitura,o,de,0,reclamar,A0
123879,5,2880,5101,0,prefeitura,prefeitura,N,F|S,3,P<,*))),-,*),que,Lídice,estar,prefeitura,o,de,0,reclamar,A0
123880,6,2880,5101,0,reclamam,reclamar,V-FIN,PR|3P|IND,0,STA,(VP*),reclamar,(V*),que,Lídice,estar,prefeitura,o,de,1,reclamar,V
123881,7,2880,5101,0,que,que,CONJ-S,-,9,SUB,(FCL*,-,(A1*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123882,8,2880,5101,0,Lídice,Lídice,PROP,M|S,9,SUBJ,(NP*),-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123883,9,2880,5101,0,está,estar,V-FIN,PR|3S|IND,6,ACC,(VP*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123884,10,2880,5101,0,adiando,adiar,V-GER,-,9,MV,*),-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123885,11,2880,5101,0,desde,desde,PRP,-,10,ADVL,(PP*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123886,12,2880,5101,0,maio,maio,N,M|S,11,P<,(NP*)),-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123887,13,2880,5101,0,o,o,ART,M|S,14,>N,(NP*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123888,14,2880,5101,0,pagamento,pagamento,N,M|S,10,ACC,*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123889,15,2880,5101,0,de,de,PRP,-,14,N<ARGO,(PP*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123890,16,2880,5101,0,as,o,ART,F|P,17,>N,(NP*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
123891,17,2880,5101,0,perdas,perda,N,F|P,15,P<,*,-,*,que,Lídice,estar,prefeitura,o,de,1,reclamar,A1
