,FUNC+1,FUNC+2,FUNC+3,FUNC-1,FUNC-2,FUNC-3
0,SUBJ,N<,ADVL,,,
1,N<,ADVL,STA,ADVL,,
2,ADVL,STA,>N,SUBJ,ADVL,
3,STA,>N,ACC,N<,SUBJ,ADVL
4,>N,ACC,N<,ADVL,N<,SUBJ
5,ACC,N<,PU,STA,ADVL,N<
6,N<,PU,ADVL,>N,STA,ADVL
7,PU,ADVL,>N,ACC,>N,STA
8,ADVL,>N,ACC,N<,ACC,>N
9,>N,ACC,N<,PU,N<,ACC
10,ACC,N<,PU,ADVL,PU,N<
11,N<,PU,>N,>N,ADVL,PU
12,PU,>N,>N,ACC,>N,ADVL
13,>N,>N,SUBJ,N<,ACC,>N
14,>N,SUBJ,PU,PU,N<,ACC
15,SUBJ,PU,>N,>N,PU,N<
16,PU,>N,N<PRED,>N,>N,PU
17,>N,N<PRED,PU,SUBJ,>N,>N
18,N<PRED,PU,N<,PU,SUBJ,>N
19,PU,N<,>N,>N,PU,SUBJ
20,N<,>N,P<,N<PRED,>N,PU
21,>N,P<,N<PRED,PU,N<PRED,>N
22,P<,N<PRED,>N,N<,PU,N<PRED
23,N<PRED,>N,ACC,>N,N<,PU
24,>N,ACC,OC,P<,>N,N<
25,ACC,OC,PIV,N<PRED,P<,>N
26,OC,PIV,>N,>N,N<PRED,P<
27,PIV,>N,P<,ACC,>N,N<PRED
28,>N,P<,N<,OC,ACC,>N
29,P<,N<,PU,PIV,OC,ACC
30,N<,PU,,>N,PIV,OC
31,PU,,,P<,>N,PIV
32,,,,N<,P<,>N
33,SUBJ,N<,ADVL,,,
34,N<,ADVL,STA,ADVL,,
35,ADVL,STA,>N,SUBJ,ADVL,
36,STA,>N,ACC,N<,SUBJ,ADVL
37,>N,ACC,N<,ADVL,N<,SUBJ
38,ACC,N<,PU,STA,ADVL,N<
39,N<,PU,ADVL,>N,STA,ADVL
40,PU,ADVL,>N,ACC,>N,STA
41,ADVL,>N,ACC,N<,ACC,>N
42,>N,ACC,N<,PU,N<,ACC
43,ACC,N<,PU,ADVL,PU,N<
44,N<,PU,>N,>N,ADVL,PU
45,PU,>N,>N,ACC,>N,ADVL
46,>N,>N,SUBJ,N<,ACC,>N
47,>N,SUBJ,PU,PU,N<,ACC
48,SUBJ,PU,>N,>N,PU,N<
49,PU,>N,N<PRED,>N,>N,PU
50,>N,N<PRED,PU,SUBJ,>N,>N
51,N<PRED,PU,N<,PU,SUBJ,>N
52,PU,N<,>N,>N,PU,SUBJ
53,N<,>N,P<,N<PRED,>N,PU
54,>N,P<,N<PRED,PU,N<PRED,>N
55,P<,N<PRED,>N,N<,PU,N<PRED
56,N<PRED,>N,ACC,>N,N<,PU
