,GPOS_CTX_P+0,GPOS_CTX_P+1,GPOS_CTX_P-1
0,V-FIN,ART,
1,V-FIN,ART,ADV
2,V-FIN,ART,ADV
3,V-FIN,ART,ADV
4,V-FIN,ART,ADV
5,V-FIN,ART,ADV
6,V-FIN,ART,ADV
7,V-FIN,ART,ADV
8,V-FIN,ART,ADV
9,V-FIN,ART,ADV
10,V-FIN,ART,ADV
11,V-FIN,ART,ADV
12,V-FIN,ART,ADV
13,V-FIN,ART,ADV
14,V-FIN,ART,ADV
15,V-FIN,ART,ADV
16,V-FIN,ART,ADV
17,V-FIN,ART,ADV
18,V-FIN,ART,ADV
19,V-FIN,ART,ADV
20,V-FIN,ART,ADV
21,V-FIN,ART,ADV
22,V-FIN,ART,ADV
23,V-FIN,ART,ADV
24,V-FIN,ART,ADV
25,V-FIN,ART,ADV
26,V-FIN,ART,ADV
27,V-FIN,ART,ADV
28,V-FIN,ART,ADV
29,V-FIN,ART,ADV
30,V-FIN,ART,ADV
31,V-FIN,ART,ADV
32,V-FIN,,ADV
33,V-GER,ART,
34,V-GER,ART,PU
35,V-GER,ART,PU
36,V-GER,ART,PU
37,V-GER,ART,PU
38,V-GER,ART,PU
39,V-GER,ART,PU
40,V-GER,ART,PU
41,V-GER,ART,PU
42,V-GER,ART,PU
43,V-GER,ART,PU
44,V-GER,ART,PU
45,V-GER,ART,PU
46,V-GER,ART,PU
47,V-GER,ART,PU
48,V-GER,ART,PU
49,V-GER,ART,PU
50,V-GER,ART,PU
51,V-GER,ART,PU
52,V-GER,ART,PU
53,V-GER,ART,PU
54,V-GER,ART,PU
55,V-GER,ART,PU
56,V-GER,ART,PU
57,V-GER,ART,PU
58,V-GER,ART,PU
59,V-GER,ART,PU
60,V-GER,ART,PU
61,V-GER,ART,PU
62,V-GER,ART,PU
63,V-GER,ART,PU
64,V-GER,ART,PU
65,V-GER,,PU
66,V-FIN,ART,
67,V-FIN,ART,N
68,V-FIN,ART,N
69,V-FIN,ART,N
70,V-FIN,ART,N
71,V-FIN,ART,N
72,V-FIN,ART,N
73,V-FIN,ART,N
74,V-FIN,ART,N
75,V-FIN,ART,N
76,V-FIN,ART,N
77,V-FIN,ART,N
78,V-FIN,ART,N
79,V-FIN,ART,N
80,V-FIN,ART,N
81,V-FIN,ART,N
82,V-FIN,ART,N
83,V-FIN,ART,N
84,V-FIN,ART,N
85,V-FIN,ART,N
86,V-FIN,ART,N
87,V-FIN,ART,N
88,V-FIN,ART,N
89,V-FIN,ART,N
90,V-FIN,ART,N
91,V-FIN,ART,N
92,V-FIN,ART,N
93,V-FIN,ART,N
94,V-FIN,ART,N
95,V-FIN,ART,N
96,V-FIN,ART,N
97,V-FIN,ART,N
98,V-FIN,,N
99,V-GER,PRP,
100,V-GER,PRP,PROP
101,V-GER,PRP,PROP
102,V-GER,PRP,PROP
103,V-GER,PRP,PROP
104,V-GER,PRP,PROP
105,V-GER,PRP,PROP
106,V-GER,PRP,PROP
107,V-GER,PRP,PROP
108,V-GER,PRP,PROP
109,V-GER,PRP,PROP
110,V-GER,PRP,PROP
111,V-GER,PRP,PROP
112,V-GER,PRP,PROP
113,V-GER,PRP,PROP
114,V-GER,PRP,PROP
115,V-GER,PRP,PROP
116,V-GER,PRP,PROP
117,V-GER,PRP,PROP
118,V-GER,PRP,PROP
119,V-GER,PRP,PROP
120,V-GER,PRP,PROP
121,V-GER,PRP,PROP
122,V-GER,PRP,PROP
123,V-GER,PRP,PROP
124,V-GER,PRP,PROP
125,V-GER,PRP,PROP
126,V-GER,PRP,PROP
127,V-GER,PRP,PROP
128,V-GER,PRP,PROP
129,V-GER,PRP,PROP
130,V-GER,PRP,PROP
131,V-GER,,PROP
132,V-FIN,N,
133,V-FIN,N,PU
134,V-FIN,N,PU
135,V-FIN,N,PU
136,V-FIN,N,PU
137,V-FIN,N,PU
138,V-FIN,N,PU
139,V-FIN,,PU
140,V-FIN,ART,
141,V-FIN,ART,ADV
142,V-FIN,ART,ADV
143,V-FIN,ART,ADV
144,V-FIN,ART,ADV
145,V-FIN,ART,ADV
146,V-FIN,ART,ADV
147,V-FIN,ART,ADV
148,V-FIN,ART,ADV
149,V-FIN,ART,ADV
150,V-FIN,ART,ADV
151,V-FIN,ART,ADV
152,V-FIN,,ADV
153,PRON-PERS,V-FIN,
154,PRON-PERS,V-FIN,PRON-PERS
155,PRON-PERS,V-FIN,PRON-PERS
156,PRON-PERS,V-FIN,PRON-PERS
157,PRON-PERS,V-FIN,PRON-PERS
158,PRON-PERS,V-FIN,PRON-PERS
