,R
0,O
1,B
2,I
3,I
4,B
5,B
6,I
7,I
8,I
9,I
10,I
11,I
12,I
13,I
14,I
15,I
16,I
17,I
18,I
19,I
20,I
21,I
22,I
23,I
24,I
25,I
26,I
27,I
28,I
29,I
30,I
31,I
32,O
33,O
34,O
35,O
36,O
37,O
38,O
39,O
40,O
41,O
42,B
43,B
44,I
45,I
46,O
47,O
48,O
49,O
50,O
51,O
52,O
53,O
54,O
55,O
56,O
57,O
58,O
59,O
60,O
61,O
62,O
63,O
64,O
65,O
66,O
67,O
68,O
69,O
70,O
71,O
72,O
73,O
74,O
75,B
76,I
77,I
78,I
79,O
80,B
81,I
82,I
83,I
84,I
85,I
86,I
87,I
88,I
89,I
90,B
91,B
92,I
93,B
94,I
95,I
96,I
97,I
98,O
99,O
100,O
101,O
102,O
103,O
104,O
105,O
106,O
107,O
108,O
109,O
110,O
111,O
112,O
113,O
114,O
115,O
116,O
117,O
118,O
119,O
120,O
121,O
122,O
123,O
124,B
125,I
126,B
127,B
128,I
129,I
130,I
131,O
132,B
133,B
134,O
135,B
136,O
137,B
138,I
139,O
140,B
141,I
142,I
143,I
144,I
145,B
146,B
147,B
148,I
149,I
150,I
151,I
152,O
153,B
154,B
155,B
156,B
157,O
158,O
159,O
160,O
161,O
162,O
163,O
164,O
165,O
166,O
167,O
168,O
169,O
170,O
171,O
172,B
173,I
174,B
175,B
176,I
177,I
178,O
179,B
180,O
181,O
182,O
183,O
184,O
185,O
186,O
187,O
188,B
189,O
190,B
191,O
192,B
193,I
194,I
195,I
196,I
197,I
198,I
199,I
200,B
201,B
202,I
203,I
204,I
205,I
206,I
207,O
208,O
209,B
210,O
211,B
212,B
213,I
214,B
215,I
216,I
217,I
218,I
219,O
220,O
221,B
222,O
223,O
224,O
225,B
226,B
227,I
228,I
229,I
230,O
231,B
232,I
233,I
234,I
235,I
236,I
237,I
238,B
239,B
240,I
241,I
242,I
243,I
244,O
245,B
246,I
247,O
248,B
249,I
250,I
251,I
252,I
253,I
254,I
255,I
256,I
257,I
258,I
259,I
260,I
261,I
262,O
263,O
264,B
265,O
266,B
267,B
268,B
269,I
270,O
271,O
272,O
273,O
274,O
275,O
276,O
277,O
278,O
279,O
280,O
281,B
282,B
283,B
284,O
285,B
286,I
287,I
288,O
289,B
290,I
291,I
292,O
293,B
294,I
295,I
296,I
297,I
298,O
299,B
300,I
301,B
302,B
303,I
304,I
305,I
306,O
307,B
308,I
309,I
310,I
311,I
312,I
313,O
314,B
315,B
316,I
317,O
318,B
319,I
320,B
321,B
322,B
323,I
324,I
325,I
326,I
327,I
328,I
329,I
330,I
331,I
332,I
333,I
334,I
335,I
336,I
337,I
338,I
339,I
340,O
341,B
342,I
343,I
344,I
345,I
346,I
347,I
348,I
349,O
350,B
351,B
352,I
353,I
354,O
355,O
356,O
357,O
358,O
359,O
360,O
361,O
362,O
363,O
364,O
365,O
366,O
367,O
368,O
369,O
370,O
371,O
372,O
373,O
374,O
375,O
376,B
377,B
378,B
379,I
380,I
381,O
382,O
383,O
384,O
385,O
386,O
387,O
388,O
389,O
390,B
391,I
392,O
393,B
394,B
395,B
396,I
397,O
398,O
399,O
400,O
401,B
402,O
403,O
404,B
405,B
406,B
407,I
408,I
409,I
410,O
411,O
412,O
413,O
414,O
415,O
416,O
417,O
418,O
419,O
420,O
421,B
422,I
423,I
424,I
425,I
426,I
427,I
428,I
429,I
430,I
431,I
432,I
433,O
434,B
435,B
436,I
437,I
438,I
439,I
440,B
441,I
442,I
443,O
444,B
445,I
446,I
447,I
448,I
449,I
450,I
451,I
452,I
453,O
454,B
455,B
456,I
457,B
458,I
459,I
460,I
461,O
462,O
463,O
464,O
465,O
466,O
467,O
468,O
469,O
470,O
471,O
472,O
473,O
474,O
475,B
476,B
477,I
478,I
479,O
480,B
481,I
482,I
483,I
484,I
485,B
486,B
487,B
488,I
489,O
490,B
491,I
492,I
493,I
494,I
495,I
496,I
497,I
498,O
499,B
500,B
501,I
502,B
503,I
504,I
505,O
506,B
507,I
508,O
509,B
510,B
511,I
512,I
513,I
514,I
515,I
516,I
517,I
518,I
519,I
520,O
521,B
522,I
523,I
524,I
525,I
526,I
527,I
528,I
529,I
530,I
531,O
532,B
533,B
534,I
535,I
536,I
537,I
538,I
539,I
540,I
541,O
542,B
543,I
544,I
545,O
546,B
547,I
548,I
549,I
550,I
551,I
552,I
553,I
554,I
555,B
556,B
557,I
558,I
559,I
560,I
561,I
562,I
563,I
564,I
565,I
566,I
567,I
568,I
569,I
570,I
571,I
572,I
573,I
574,I
575,O
576,O
577,O
578,O
579,O
580,O
581,O
582,O
583,O
584,O
585,O
586,O
587,O
588,O
589,O
590,O
591,O
592,O
593,O
594,O
595,O
596,B
597,B
598,I
599,I
600,I
601,I
602,I
603,I
604,I
605,I
606,I
607,I
608,I
609,O
610,O
611,O
612,O
613,O
614,O
615,O
616,O
617,O
618,O
619,O
620,O
621,O
622,O
623,O
624,O
625,O
626,O
627,O
628,O
629,O
630,O
631,O
632,O
633,O
634,O
635,O
636,O
637,B
638,B
639,I
640,B
641,I
642,I
643,O
644,B
645,I
646,I
647,I
648,I
649,I
650,I
651,I
652,I
653,I
654,B
655,B
656,B
657,I
658,I
659,I
660,I
661,I
662,I
663,I
664,I
665,I
666,I
667,I
668,I
669,I
670,I
671,I
672,I
673,I
674,O
675,O
676,O
677,O
678,O
679,O
680,O
681,O
682,O
683,O
684,O
685,O
686,O
687,O
688,B
689,I
690,I
691,I
692,I
693,I
694,I
695,B
696,O
697,B
698,B
699,I
700,B
701,I
702,I
703,I
704,I
705,O
706,O
707,O
708,O
709,O
710,O
711,O
712,O
713,O
714,O
715,O
716,O
717,O
718,O
719,O
720,O
721,O
722,O
723,O
724,O
725,B
726,O
727,O
728,O
729,O
730,O
731,O
732,B
733,B
734,B
735,I
736,O
737,B
738,I
739,I
740,I
741,I
742,I
743,B
744,B
745,I
746,I
747,B
748,I
749,I
750,O
751,O
752,B
753,B
754,B
755,I
756,I
757,I
758,I
759,I
760,I
761,I
762,I
763,I
764,O
765,O
766,O
767,O
768,O
769,O
770,O
771,O
772,O
773,O
774,O
775,O
776,O
777,O
778,O
779,B
780,I
781,I
782,I
783,I
784,I
785,I
786,I
787,I
788,I
789,I
790,I
791,I
792,O
793,B
794,I
795,O
796,B
797,B
798,I
799,I
800,I
801,I
802,B
803,I
804,I
805,I
806,I
807,O
808,O
809,O
810,O
811,O
812,O
813,O
814,O
815,O
816,B
817,B
818,I
819,I
820,I
821,O
822,O
823,O
824,O
825,O
826,O
827,O
828,O
829,O
830,O
831,O
832,O
833,O
834,O
835,O
836,O
837,O
838,O
839,O
840,O
841,O
842,O
843,O
844,O
845,B
846,O
847,B
848,I
849,I
850,I
851,I
852,I
853,I
854,I
855,I
856,I
857,I
858,I
859,O
860,B
861,I
862,B
863,B
864,I
865,I
866,B
867,I
868,I
869,I
870,I
871,O
872,B
873,I
874,I
875,I
876,I
877,I
878,I
879,I
880,I
881,I
882,O
883,O
884,O
885,O
886,O
887,O
888,O
889,O
890,O
891,O
892,O
893,O
894,O
895,O
896,O
897,O
898,B
899,I
900,O
901,O
902,O
903,O
904,O
905,O
906,O
907,O
908,O
909,O
910,B
911,B
912,I
913,I
914,I
915,B
916,I
917,I
918,I
919,I
920,O
921,B
922,I
923,B
924,B
925,I
926,I
927,I
928,I
929,I
930,I
931,I
932,O
933,O
934,O
935,O
936,O
937,O
938,O
939,O
940,O
941,O
942,O
943,O
944,O
945,O
946,O
947,O
948,O
949,O
950,O
951,O
952,O
953,O
954,O
955,O
956,O
957,O
958,B
959,I
960,I
961,O
962,O
963,B
964,B
965,B
966,I
967,I
968,I
969,I
970,O
971,B
972,B
973,I
974,I
975,I
976,I
977,I
978,I
979,I
980,I
981,I
982,I
983,I
984,I
985,I
986,I
987,I
988,I
989,I
990,I
991,I
992,I
993,I
994,I
995,I
996,I
997,I
998,I
999,I
1000,I
1001,I
1002,I
1003,I
1004,I
1005,O
1006,O
1007,O
1008,O
1009,O
1010,O
1011,O
1012,O
1013,O
1014,O
1015,O
1016,B
1017,B
1018,B
1019,I
1020,I
1021,I
1022,I
1023,I
1024,I
1025,I
1026,I
1027,I
1028,B
1029,I
1030,I
1031,I
1032,I
1033,I
1034,I
1035,I
1036,I
1037,I
1038,I
1039,I
1040,O
1041,B
1042,B
1043,B
1044,B
1045,I
1046,I
1047,O
1048,O
1049,O
1050,O
1051,B
1052,B
1053,B
1054,O
1055,B
1056,B
1057,B
1058,I
1059,B
1060,I
1061,I
1062,I
1063,I
1064,I
1065,I
1066,I
1067,I
1068,O
1069,O
1070,O
1071,O
1072,O
1073,O
1074,B
1075,B
1076,I
1077,I
1078,I
1079,I
1080,I
1081,I
1082,O
1083,O
1084,O
1085,O
1086,O
1087,O
1088,O
1089,B
1090,B
1091,B
1092,I
1093,B
1094,I
1095,I
1096,O
1097,B
1098,B
1099,B
1100,B
1101,B
1102,I
1103,I
1104,I
1105,O
1106,B
1107,O
1108,O
1109,O
1110,O
1111,B
1112,B
1113,B
1114,O
1115,B
1116,O
1117,O
1118,B
1119,B
1120,I
1121,B
1122,B
1123,I
1124,I
1125,I
1126,I
1127,I
1128,I
1129,O
1130,B
1131,I
1132,I
1133,B
1134,B
1135,I
1136,I
1137,I
1138,O
1139,O
1140,O
1141,O
1142,O
1143,O
1144,O
1145,O
1146,O
1147,O
1148,O
1149,O
1150,B
1151,B
1152,I
1153,I
1154,O
1155,O
1156,O
1157,O
1158,O
1159,O
1160,O
1161,O
1162,O
1163,O
1164,O
1165,O
1166,O
1167,O
1168,O
1169,O
1170,O
1171,O
1172,B
1173,I
1174,B
1175,B
1176,I
1177,O
1178,O
1179,O
1180,O
1181,B
1182,B
1183,I
1184,I
1185,I
1186,I
1187,I
1188,I
1189,I
1190,O
1191,O
1192,O
1193,O
1194,O
1195,O
1196,B
1197,I
1198,O
1199,O
1200,O
1201,O
1202,O
1203,O
1204,O
1205,O
1206,O
1207,O
1208,O
1209,B
1210,B
1211,I
1212,I
1213,O
1214,O
1215,B
1216,B
1217,B
1218,I
1219,O
1220,O
1221,O
1222,O
1223,O
1224,O
1225,O
1226,O
1227,O
1228,O
1229,O
1230,B
1231,O
1232,O
1233,O
1234,O
1235,O
1236,O
1237,O
1238,O
1239,B
1240,B
