TOKEN	NER_TAG
Academia_de_Inscrições_e_Belas_Artes	ORG
Administração_Regional	ORG
Agropecuária_América	ORG
Agência_Meteorológica_Japonesa	ORG
Agência_de_Proteção_Ambiental	ORG
Alexandre_Dupeyrat	ORG
American_Express	ORG
Anjos_da_Noite	ORG
Antônio_Correia_Meyer	ORG
Arby\'s	ORG
Assembléia_Nacional	ORG
Assembléia_de_Deus	ORG
Associação_Brasileira_da_Indústria_de_Máquinas	ORG
Associação_Brasileira_de_Imprensa	ORG
Associação_Mundial	ORG
Associação_Médica_Norte-americana	ORG
Associação_Nacional_de_Agências_de_Viagens	ORG
Associação_Nacional_de_Pós-graduação_em_Ciências_Sociais	ORG
Associação_Paulista_de_Propaganda	ORG
Associação_dos_Engenheiros	ORG
Associaçãos_dos_Pais_de_Alunos	ORG
Automóvel_Clube	ORG
Ballet_da_Ópera_de_Lyon	ORG
Ballet_de_Lyon	ORG
Banco_Banorte	ORG
Banco_Itamarati	ORG
Banco_Mercantil	ORG
Banco_Nacional_de_Habitação	ORG
Banco_Real	ORG
Banco_de_Boston	ORG
Banco_do_Brasil	ORG
Barnes_and_Nobles	ORG
Batalhão_de_Choque	ORG
Biblioteca_Nacional	ORG
Bloco_da_Galinha_Azul	ORG
Bolsa_de_Mercadorias_e_Futuros	ORG
Bolsa_de_Valores_de_São_Paulo	ORG
Bradesco_VISA	ORG
Bradesco_Visa	ORG
Brasileiro_de_Fórmula_Ford	ORG
British_Medical_Journal	ORG
Caixa_Econômica_Federal	ORG
California_State_University	ORG
Campeonato_Brasileiro	ORG
Campeonato_Brasileiro_de_Fórmula_Ford	ORG
Campeonato_Italiano	ORG
Campeonato_Paulista	ORG
Cannes-94	ORG
Cartel_de_Cáli	ORG
Casa_Legislativa	ORG
Centro_Internacional_de_Arte_e_Escultura	ORG
Centro_de_Ambulâncias	ORG
Centro_de_Biologia_Marinha	ORG
Centro_de_Coordenação_de_Operações_de_Combate_ao_Crime_Organizado	ORG
Centro_de_Vigilância_Epidemiológica	ORG
Centro_para_Direitos_Econômicos_e_Sociais	ORG
Centros_Populares_de_Cultura	ORG
Ces-Senac	ORG
China_Northwest_Airlines	ORG
China_Southern_Airlines	ORG
Citrovita_Agropecuária	ORG
Clube_das_Bigodudas	ORG
Clube_das_Mulheres	ORG
Comando_Vermelho	ORG
Comissão_Justiça_e_Paz	ORG
Comissão_Mista_de_Orçamento	ORG
Comissão_Parlamentar_de_Inquérito	ORG
Comissão_Pastoral_da_Terra	ORG
Comissão_de_Agricultura	ORG
Comissão_de_Assuntos_Econômicos	ORG
Comissão_de_Processos_Administrativos_Especiais	ORG
Companhia_Brasileira_de_Alumínio	ORG
Companhia_das_Letras	ORG
Companhia_de_Dança	ORG
Companhia_de_Engenharia_de_Tráfego	ORG
Companhia_de_Mineração	ORG
Comunidade_Pacifista_Cristã	ORG
Comunidade_de_Estados_Independentes	ORG
Conferência_Internacional_sobre_Transtornos_Alimentares	ORG
Conferência_sobre_Segurança_e_Cooperação_na_Europa	ORG
Congresso_Internacional_de_Direitos_Autorais	ORG
Congresso_Nacional	ORG
Conselho_Deliberatico	ORG
Conselho_Federal_de_Medicina	ORG
Conselho_Monetário_Nacional	ORG
Conselho_Municipal_de_Defesa_dos_Direitos_das_Mulheres_e_das_Minorias	ORG
Conselho_Nacional_de_Direito_Autoral	ORG
Conselho_Regional_de_Corretores_de_Imóveis	ORG
Conselho_Regional_de_Economia	ORG
Conselho_de_Segurança	ORG
Coordenadoria_Especial_da_Mulher	ORG
Copa_Africana_de_Nações	ORG
Corrente_Sindical_Classista	ORG
Câmara_Americana	ORG
Câmara_de_Comércio_Brasil-Estados_Unidos	ORG
Câmara_dos_Deputados	ORG
Delegacia_Regional_do_Trabalho	ORG
Departamento_de_Controle_e_Uso_de_Imóveis	ORG
Departamento_de_Crédito_e_Financiamento	ORG
Departamento_de_Defesa	ORG
Departamento_de_Estado	ORG
Departamento_de_Estradas_de_Rodagem	ORG
Departamento_de_Fiscalização	ORG
Departamento_de_Fotografia	ORG
Divisão_de_Vigilância_Sanitária	ORG
Diário_Oficial	ORG
Diário_da_Justiça	ORG
Eldorado_S/A	ORG
Empresa_Metropolitana_de_Transportes_Urbanos	ORG
Empresa_de_Correios_e_Telégrafos	ORG
Escola_de_Medicina	ORG
Escritório_Regional_de_Saúde	ORG
Esplanada_Grill	ORG
Estatuto_da_Criança_e_do_Adolescente	ORG
