,P
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,8
167,8
168,8
169,8
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,9
180,9
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,10
193,10
194,10
195,10
196,10
197,10
198,10
199,10
200,10
201,10
202,10
203,10
204,10
205,10
206,10
207,10
208,11
209,11
210,11
211,11
212,11
213,11
214,12
215,12
216,12
217,12
218,12
219,12
220,12
221,12
222,12
223,12
224,12
225,12
226,12
227,12
228,12
229,12
230,12
231,13
232,13
233,13
234,13
235,13
236,13
237,13
238,13
239,13
240,13
241,13
242,13
243,13
244,13
245,14
246,14
247,14
248,14
249,14
250,14
251,14
252,14
253,14
254,14
255,14
256,14
257,14
258,14
259,14
260,14
261,14
262,14
263,14
264,14
265,14
266,15
267,15
268,15
269,15
270,16
271,16
272,16
273,16
274,16
275,16
276,16
277,16
278,16
279,16
280,16
281,16
282,16
283,16
284,16
285,16
286,16
287,16
288,16
289,16
290,16
291,16
292,16
293,17
294,17
295,17
296,17
297,17
298,17
299,17
300,17
301,17
302,17
303,17
304,17
305,17
306,17
307,18
308,18
309,18
310,18
311,18
312,18
313,18
314,18
315,18
316,18
317,18
318,19
319,19
320,19
321,19
322,19
323,19
324,19
325,19
326,19
327,19
328,19
329,19
330,19
331,19
332,19
333,19
334,19
335,19
336,19
337,19
338,19
339,19
340,19
341,20
342,20
343,20
344,20
345,20
346,20
347,20
348,20
349,20
350,20
351,20
352,20
353,20
354,20
355,20
356,20
357,20
358,20
359,20
360,20
361,20
362,21
363,21
364,21
365,21
366,21
367,21
368,21
369,21
370,21
371,21
372,21
373,21
374,21
375,21
376,21
377,21
378,21
379,21
380,21
381,21
382,21
383,22
384,22
385,22
386,22
387,22
388,22
389,22
390,22
391,22
392,22
393,22
394,22
395,22
396,22
397,22
398,23
399,23
400,23
401,23
402,23
403,23
404,23
405,23
406,23
407,23
408,23
409,23
410,23
411,23
412,23
413,23
414,23
415,23
416,23
417,23
418,23
419,23
420,23
421,24
422,24
423,24
424,24
425,24
426,24
427,24
428,24
429,24
430,24
431,24
432,24
433,24
434,24
435,24
436,24
437,24
438,24
439,24
440,24
441,24
442,24
443,24
444,25
445,25
446,25
447,25
448,25
449,25
450,25
451,25
452,25
453,25
454,25
455,25
456,25
457,25
458,25
459,25
460,25
461,25
462,26
463,26
464,26
465,26
466,26
467,26
468,26
469,26
470,26
471,26
472,26
473,26
474,26
475,26
476,26
477,26
478,26
479,26
480,27
481,27
482,27
483,27
484,27
485,27
486,27
487,27
488,27
489,27
490,28
491,28
492,28
493,28
494,28
495,28
496,28
497,28
498,28
499,28
500,28
501,28
502,28
503,28
504,28
505,28
506,29
507,29
508,29
509,29
510,29
511,29
512,29
513,29
514,29
515,29
516,29
517,29
518,29
519,29
520,29
521,30
522,30
523,30
524,30
525,30
526,30
527,30
528,30
529,30
530,30
531,30
532,30
533,30
534,30
535,30
536,30
537,30
538,30
539,30
540,30
541,30
542,31
543,31
544,31
545,31
546,31
547,31
548,31
549,31
550,31
551,31
552,31
553,31
554,31
555,31
556,31
557,31
558,31
559,31
560,31
561,31
562,31
563,31
564,31
565,31
566,31
567,31
568,31
569,31
570,31
571,31
572,31
573,31
574,31
575,31
576,32
577,32
578,32
579,32
580,32
581,32
582,32
583,32
584,32
585,32
586,32
587,32
588,32
589,32
590,32
591,32
592,32
593,32
594,32
595,32
596,32
597,32
598,32
599,32
600,32
601,32
602,32
603,32
604,32
605,32
606,32
607,32
608,32
609,32
610,33
611,33
612,33
613,33
614,33
615,33
616,33
617,33
618,33
619,33
620,33
621,33
622,33
623,33
624,33
625,33
626,33
627,33
628,33
629,33
630,33
631,33
632,33
633,33
634,33
635,33
636,33
637,33
638,33
639,33
640,33
641,33
642,33
643,33
644,34
645,34
646,34
647,34
648,34
649,34
650,34
651,34
652,34
653,34
654,34
655,34
656,34
657,34
658,34
659,34
660,34
661,34
662,34
663,34
664,34
665,34
666,34
667,34
668,34
669,34
670,34
671,34
672,34
673,34
674,34
675,35
676,35
677,35
678,35
679,35
680,35
681,35
682,35
683,35
684,35
685,35
686,35
687,35
688,35
689,35
690,35
691,35
692,35
693,35
694,35
695,35
696,35
697,35
698,35
699,35
700,35
701,35
702,35
703,35
704,35
705,35
706,36
707,36
708,36
709,36
710,36
711,36
712,36
713,36
714,36
715,36
716,36
717,36
718,36
719,36
720,36
721,36
722,36
723,36
724,36
725,36
726,36
727,36
728,36
729,36
730,36
731,36
732,36
733,36
734,36
735,36
736,36
737,37
738,37
739,37
740,37
741,37
742,37
743,37
744,37
745,37
746,37
747,37
748,37
749,37
750,37
751,38
752,38
753,38
754,38
755,38
756,38
757,38
758,38
759,38
760,38
761,38
762,38
763,38
764,38
765,38
766,38
767,38
768,38
769,38
770,38
771,38
772,38
773,38
774,38
775,38
776,38
777,38
778,38
779,39
780,39
781,39
782,39
783,39
784,39
785,39
786,39
787,39
788,39
789,39
790,39
791,39
792,39
793,39
794,39
795,39
796,39
797,39
798,39
799,39
800,39
801,39
802,39
803,39
804,39
805,39
806,39
807,40
808,40
809,40
810,40
811,40
812,40
