;batch_size;chunks;ctxp;embeddings_model;embeddings_trainable;epochs;hidden_layers;input_labels;kfold;lr;ru;target_labels;timestamp;train-f1;valid-f1;version
12;250;False;1;glo50;False;1000;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1', 'R'];False;0.005;BasicLSTM;['T'];2018-09-22 130752;98.68;64.98;1.0
16;250;False;1;glo50;False;1000;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];25;0.005;BasicLSTM;['T'];2018-09-04 160737;0.0;58.59;1.0
17;250;False;1;glo50;False;1000;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];25;0.005;BasicLSTM;['T'];2018-09-05 150321;0.0;53.83;1.0
29;250;False;1;wan100;False;1000;[16, 16];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['IOB'];2018-08-27 150000;82.25;51.29;1.0
21;250;False;1;glo50;False;1000;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['R', 'IOB'];2018-09-25 130945;92.33;50.77;1.0
22;250;False;1;glo50;False;1000;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['IOB'];2018-09-26 181434;79.92;50.47;1.0
5;250;True;1;glo50;False;1000;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1', 'SHALLOW_CHUNKS'];False;0.005;BasicLSTM;['T'];2018-09-10 160326;65.7;49.52;1.0
33;250;False;1;wan50;False;300;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['R', 'IOB'];2018-09-25 180955;98.36;49.11;1.0
28;250;False;1;wan100;False;1000;[16, 16];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['T'];2018-08-27 150000;74.37;49.08;1.0
19;250;False;1;glo50;False;1000;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];25;0.005;BasicLSTM;['T'];2018-09-05 144836;0.0;48.77;1.0
36;250;False;1;wan300;False;1000;[16, 16, 16, 16];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['IOB'];2018-09-05 003619;77.01;48.38;1.0
23;250;False;1;wrd50;False;1000;[32, 16];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['T'];2018-08-27 150000;90.83;47.96;1.0
20;250;False;1;glo50;False;300;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;GRU;['R', 'IOB'];2018-09-25 153727;87.66;47.95;1.0
11;250;False;1;glo50;False;1000;[32];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['T'];2018-09-21 173633;98.26;47.79;1.0
1;250;False;1;glo50;False;1000;[16, 16];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['T'];2018-08-27 150000;71.85;47.72;1.0
25;250;False;1;wan100;False;1000;[32, 16];['ID', 'FORM', 'MARKER', 'GPOS', 'FORM_CTX_P-1', 'FORM_CTX_P+0', 'FORM_CTX_P+1'];False;0.005;BasicLSTM;['T'];2018-08-27 150000;88.09;47.59;1.0
