INDEX,Y_ARG,Y_T
123846,(AM-PRD*),AM-PRD
123847,(C-V*),C-V
123848,(AM-PRD*),AM-PRD
123849,(C-V*),C-V
123850,(AM-PRD*),AM-PRD
123851,(C-V*),C-V
123852,(AM-PRD*),AM-PRD
123853,(C-V*),C-V
123854,(AM-PRD*),AM-PRD
123855,(C-V*),C-V
123856,(AM-PRD*),AM-PRD
123857,(C-V*),C-V
123858,(AM-PRD*),AM-PRD
123859,(C-V*),C-V
123860,(AM-PRD*),AM-PRD
123861,(C-V*),C-V
123862,(AM-PRD*),AM-PRD
123863,(C-V*),C-V
123864,(AM-PRD*),AM-PRD
123865,(C-V*),C-V
123866,(AM-PRD*),AM-PRD
123867,(C-V*),C-V
123868,(AM-PRD*),AM-PRD
123869,(C-V*),C-V
123870,(AM-PRD*),AM-PRD
123871,(C-V*),C-V
123872,(AM-PRD*),AM-PRD
123873,(A5*),A5
123874,(AM-MED*),AM-MED
123875,(AM-PRD*),AM-PRD
123876,(C-V*),C-V
123877,(AM-PRD*),AM-PRD
123878,(C-V*),C-V
123879,(AM-PRD*),AM-PRD
123880,(C-V*),C-V
123881,(AM-PRD*),AM-PRD
123882,(C-V*),C-V
123883,(AM-PRD*),AM-PRD
123884,(C-V*),C-V
123885,(AM-PRD*),AM-PRD
123886,(C-V*),C-V
123887,(AM-PRD*),AM-PRD
123888,(C-V*),C-V
123889,(AM-PRD*),AM-PRD
123890,(C-V*),C-V
123891,(AM-PRD*),AM-PRD
123892,(C-V*),C-V
123893,(AM-PRD*),AM-PRD
123894,(C-V*),C-V
123895,(AM-PRD*),AM-PRD
123896,(AM-MED*),AM-MED
123897,(AM-PRD*),AM-PRD
123898,(C-V*),C-V
123899,(AM-PRD*),AM-PRD
123900,(C-V*),C-V
123901,(AM-PRD*),AM-PRD
123902,(C-V*),C-V
123903,(AM-PRD*),AM-PRD
123904,(C-V*),C-V
123905,(AM-PRD*),AM-PRD
123906,(C-V*),C-V
123907,(AM-PRD*),AM-PRD
123908,(C-V*),C-V
123909,(AM-PRD*),AM-PRD
123910,(C-V*),C-V
123911,(AM-PRD*),AM-PRD
123912,(C-V*),C-V
123913,(AM-PRD*),AM-PRD
123914,(C-V*),C-V
123915,(AM-PRD*),AM-PRD
123916,(C-V*),C-V
123917,(AM-PRD*),AM-PRD
123918,(AM-MED*),AM-MED
123919,(C-V*,C-V
123920,*),C-V
123921,(AM-PRD*),AM-PRD
123922,(C-V*),C-V
123923,(AM-PRD*),AM-PRD
123924,(C-V*),C-V
123925,(AM-PRD*),AM-PRD
123926,(C-V*),C-V
123927,(AM-PRD*),AM-PRD
123928,(C-V*),C-V
123929,(AM-PRD*),AM-PRD
123930,(C-V*),C-V
123931,(AM-PRD*),AM-PRD
123932,(C-V*),C-V
123933,(AM-PRD*),AM-PRD
123934,(AM-MED*),AM-MED
123935,(AM-REC*),AM-REC
123936,(AM-PRD*),AM-PRD
123937,(AM-REC*),AM-REC
123938,(AM-PRD*),AM-PRD
123939,(C-V*),C-V
123940,(AM-PRD*),AM-PRD
123941,(C-V*),C-V
123942,(AM-PRD*),AM-PRD
123943,(C-V*),C-V
123944,(AM-PRD*),AM-PRD
123945,(C-V*),C-V
123946,(AM-PRD*),AM-PRD
123947,(C-V*),C-V
123948,(AM-PRD*,AM-PRD
123949,*),AM-PRD
123950,(AM-MED*),AM-MED
